,eq_vol,bond_vol,corr,mix_vol,corr_share
1990-1999,0.1422,0.0996,0.3562,0.1062,0.2145
2000-2020,0.1409,0.0639,-0.1826,0.0837,-0.1126
2021-2026,0.1004,0.0959,0.5075,0.0863,0.315
1994,0.1539,0.0792,0.5692,0.1134,0.2589
2000-2002,0.1632,0.0524,-0.4116,0.0913,-0.2024
2008,0.2189,0.0945,0.1895,0.1434,0.0915
2013,0.1202,0.0899,0.2681,0.0888,0.1764
2020,0.2501,0.0463,-0.243,0.1467,-0.0627
2022,0.1316,0.1428,0.7894,0.1289,0.4285
