,eq_vol,bond_vol,corr,mix_vol,port_vol,corr_share,max_dd,ann_ret
1990-1999,0.1276,0.106,0.2159,0.0952,0.095,0.1547,-0.1516,0.1389
2000-2020,0.1813,0.0655,-0.3154,0.1035,0.1017,-0.1676,-0.2519,0.0535
2021-2026,0.1252,0.0911,0.0806,0.0861,0.0858,0.0595,-0.1644,0.0565
1994,0.1158,0.1115,0.5242,0.1003,0.1003,0.3228,-0.1516,-0.0895
2000-2002,0.2086,0.0563,-0.3124,0.1201,0.1181,-0.1222,-0.2151,-0.0458
2008,0.3594,0.0804,-0.4513,0.2032,0.1945,-0.1517,-0.2407,-0.1377
2013,0.1188,0.0726,-0.101,0.0742,0.0744,-0.076,-0.0898,0.0861
2020,0.2861,0.0684,-0.1957,0.1684,0.1639,-0.0647,-0.2217,-0.0222
2022,0.1645,0.1315,-0.0224,0.1108,0.1103,-0.0189,-0.1644,-0.0878
