,fc_252d,corr_252d,fc_2520d,corr_2520d,realised,realised_corr,realised_dd
2023-06-30,0.1293,0.1484,0.1032,-0.2338,0.0838,0.305,-0.0859
2023-07-31,0.1267,0.1869,0.1033,-0.2307,0.0855,0.2794,-0.0789
2023-08-31,0.1229,0.1725,0.1034,-0.2275,0.0877,0.1729,-0.0699
2023-09-29,0.1157,0.1487,0.1035,-0.227,0.0864,0.1429,-0.0446
2023-10-31,0.1055,0.1201,0.1037,-0.2238,0.0834,0.1213,-0.0446
2023-11-30,0.0958,0.0676,0.104,-0.2166,0.0807,0.0379,-0.0446
2023-12-29,0.0902,0.0652,0.1041,-0.2144,0.083,0.0591,-0.0446
2024-01-31,0.087,0.0666,0.1041,-0.2119,0.0846,0.07,-0.0446
2024-02-29,0.0843,0.0349,0.1042,-0.207,0.0849,0.0477,-0.0446
2024-03-28,0.0823,0.1461,0.1043,-0.205,0.0883,-0.0154,-0.0534
2024-04-30,0.0846,0.1978,0.1045,-0.1994,0.1169,-0.1021,-0.1069
2024-05-31,0.0847,0.2779,0.1046,-0.1957,0.1185,-0.1167,-0.1069
2024-06-28,0.0841,0.302,0.1047,-0.1936,0.1187,-0.1299,-0.1069
2024-07-31,0.0855,0.2794,0.105,-0.1893,0.1166,-0.158,-0.1069
2024-08-30,0.087,0.1883,0.1054,-0.1912,0.1139,-0.1199,-0.1069
2024-09-30,0.0863,0.1494,0.1055,-0.1921,0.1124,-0.1079,-0.1069
2024-10-31,0.0834,0.1213,0.1053,-0.1894,0.113,-0.1241,-0.1069
2024-11-29,0.0807,0.0353,0.1054,-0.1894,0.1137,-0.1147,-0.1069
2024-12-31,0.083,0.0591,0.1056,-0.183,0.1114,-0.1368,-0.1058
2025-01-31,0.0849,0.0622,0.1057,-0.1765,0.1101,-0.1488,-0.1058
2025-02-28,0.084,0.055,0.1058,-0.1731,0.1092,-0.1873,-0.0909
2025-03-31,0.0882,-0.017,0.106,-0.18,0.1111,-0.0598,-0.0752
2025-04-30,0.1174,-0.0868,0.1089,-0.1803,0.0794,0.0717,-0.0604
2025-05-30,0.1188,-0.1127,0.1091,-0.1815,0.0774,0.1584,-0.0604
2025-06-30,0.1188,-0.127,0.1092,-0.1799,0.0823,0.2154,-0.0604
2025-07-31,0.1166,-0.143,0.1091,-0.1757,0.085,0.2386,-0.0604
2025-08-29,0.1136,-0.1284,0.109,-0.1731,0.0851,0.2905,-0.0604
2025-09-30,0.1124,-0.1102,0.1081,-0.1678,,,
2025-10-31,0.1134,-0.1221,0.108,-0.1662,,,
2025-11-28,0.1136,-0.1176,0.1081,-0.1657,,,
2025-12-31,0.1115,-0.1411,0.1079,-0.1643,,,
2026-01-30,0.1102,-0.1435,0.1076,-0.1587,,,
2026-02-27,0.1101,-0.1771,0.1073,-0.1574,,,
2026-03-31,0.1111,-0.0567,0.1078,-0.1482,,,
2026-04-30,0.0794,0.0716,0.108,-0.1452,,,
2026-05-29,0.0774,0.1596,0.1081,-0.1401,,,
2026-06-30,0.0824,0.2165,0.1085,-0.1357,,,
2026-07-31,0.0844,0.231,0.1085,-0.1277,,,
2026-08-31,0.085,0.2883,0.1086,-0.1252,,,
2026-09-11,0.0855,0.2949,0.1087,-0.1244,,,
